District_name,Total_Houses_with_Internet
Mandsaur,2324.0
Patan,2231.0
Sirmaur,2220.0
Jalaun,2217.0
Katni,2179.0
Khargone (West Nimar),2162.0
Sirohi,2146.0
Rajnandgaon,2111.0
Betul,2109.0
Kaimur (Bhabua),2100.0
Barpeta,2078.0
Sant Kabir Nagar,2031.0
Dadra AND Nagar Haveli,2013.0
Badgam,1999.0
Rajsamand,1989.0
Pashchimi Singhbhum,1959.0
Kalahandi,1953.0
Lakhimpur,1948.0
Neemuch,1945.0
Giridih,1944.0
Deoghar,1944.0
Karimganj,1933.0
Kohima,1928.0
Vidisha,1926.0
Karbi Anglong,1923.0
Tonk,1908.0
Khandwa (East Nimar),1907.0
Sawai Madhopur,1887.0
Chhatarpur,1880.0
Washim,1875.0
Karaikal,1868.0
Shivpuri,1852.0
Supaul,1845.0
Nawada,1841.0
Almora,1830.0
Dhubri,1828.0
Dhenkanal,1810.0
Buxar,1784.0
Bastar,1782.0
Jhalawar,1750.0
Ariyalur,1749.0
Shahdol,1733.0
Dohad,1733.0
Dausa,1719.0
Balaghat,1712.0
Janjgir - Champa,1706.0
Banka,1704.0
Saharsa,1668.0
Koriya,1667.0
Gadchiroli,1663.0
Banda,1655.0
Porbandar,1653.0
Nalbari,1631.0
West Garo Hills,1630.0
Kendrapara,1628.0
Kanshiram Nagar,1623.0
Chamba,1615.0
Rajgarh,1611.0
Narsimhapur,1603.0
Khagaria,1580.0
Sehore,1566.0
Rayagada,1553.0
Balrampur,1551.0
Pulwama,1537.0
Perambalur,1507.0
Kaushambi,1503.0
Dungarpur,1477.0
Udalguri,1448.0
Kathua,1443.0
Morigaon,1421.0
Yadgir,1410.0
Madhepura,1397.0
Bundi,1392.0
Shajapur,1382.0
Tehri Garhwal,1366.0
Goalpara,1364.0
Baran,1363.0
Pithoragarh,1344.0
Chamarajanagar,1334.0
Dhaulpur,1330.0
Nabarangapur,1324.0
Mahoba,1316.0
Daman,1316.0
Anuppur,1290.0
Hingoli,1221.0
Kokrajhar,1218.0
Udhampur,1214.0
Hailakandi,1211.0
Dumka,1193.0
Dhemaji,1192.0
Lakhisarai,1186.0
Seoni,1182.0
Baksa,1175.0
Darrang,1166.0
Bhind,1166.0
Nayagarh,1163.0
Barwani,1158.0
Raisen,1141.0
Jehanabad,1106.0
Kishanganj,1093.0
Tikamgarh,1090.0
Lalitpur,1079.0
Karauli,1059.0
Dhamtari,1016.0
North Tripura,997.0
Samba,992.0
Harda,986.0
Burhanpur,986.0
Bandipore,985.0
Mahasamund,961.0
Dakshin Bastar Dantewada,955.0
South Tripura,948.0
Mewat,935.0
Mandla,912.0
Chamoli,899.0
Shupiyan,884.0
Thoubal,880.0
Ganderbal,878.0
Godda,874.0
Kodarma,845.0
Umaria,839.0
Kulgam,838.0
Churachandpur,837.0
Sidhi,837.0
Gumla,831.0
Chitrakoot,827.0
Debagarh,825.0
Jamtara,808.0
Kandhamal,768.0
Kupwara,762.0
Nuapada,757.0
Jaisalmer,754.0
Chirang,747.0
Jhabua,744.0
Subarnapur,708.0
Kabeerdham,682.0
Rajouri,673.0
Panna,653.0
Gajapati,635.0
Sheikhpura,631.0
Shrawasti,624.0
Ashoknagar,619.0
Datia,616.0
Reasi,602.0
Uttarkashi,602.0
Doda,596.0
South District,591.0
Sahibganj,591.0
Chatra,590.0
Uttar Bastar Kanker,579.0
Narmada,576.0
Leh(Ladakh),574.0
Mahe,574.0
Jashpur,567.0
Garhwa,565.0
Dindori,554.0
Champawat,548.0
Mokokchung,537.0
Dima Hasao,524.0
Jaintia Hills,510.0
Lunglei,482.0
Sheohar,478.0
East Siang,450.0
Malkangiri,448.0
Bageshwar,435.0
Simdega,423.0
Ramban,417.0
Khunti,417.0
Arwal,413.0
North  AND Middle Andaman,388.0
Diu,368.0
Kolasib,367.0
Kinnaur,354.0
Lohardaga,351.0
Punch,346.0
Latehar,340.0
Pakur,328.0
Lakshadweep,327.0
Lohit,312.0
West Siang,303.0
Alirajpur,297.0
Ribhoi,291.0
East Garo Hills,288.0
West District,286.0
Ukhrul,276.0
Kishtwar,274.0
Dhalai,273.0
Sheopur,273.0
Zunheboto,261.0
Senapati,256.0
Baudh,245.0
Kargil,235.0
Lower Dibang Valley,207.0
Yanam,207.0
West Kameng,202.0
Wokha,198.0
Champhai,186.0
Chandel,184.0
South Garo Hills,179.0
Mon,178.0
Changlang,170.0
Phek,170.0
Saiha,168.0
Lawngtlai,162.0
Tuensang,155.0
West Khasi Hills,149.0
Upper Subansiri,139.0
The Dangs,137.0
Serchhip,131.0
Tamenglong,125.0
Peren,121.0
North  District,116.0
Tirap,98.0
Upper Siang,97.0
Tawang,96.0
Kurung Kumey,95.0
Mamit,90.0
Narayanpur,86.0
Lahul AND Spiti,61.0
East Kameng,57.0
Nicobars,57.0
Kiphire,47.0
Longleng,37.0
Anjaw,27.0
Dibang Valley,17.0
Rudraprayag,
Jalor,
Ajmer,
Hardoi,
Fatehpur,
Vaishali,
Jamui,
Lower Subansiri,
Bishnupur,
Barddhaman,
Palamu,
Jagatsinghapur,
Ganjam,
Morena,
Damoh,
Dewas,
Banas Kantha,
Tapi,
Yavatmal,
Visakhapatnam,
Koppal,
Gadag,
Kasaragod,
