District_name,Below_Primary_Education_Percent,Primary_Education_Percent,Middle_Education_Percent,Secondary_Education_Percent,Higher_Education_Percent,Graduate_Education_Percent,Other_Education_Percent
Samastipur,30.63,27.86,17.21,11.14,7.3,5.1,0.75
Begusarai,31.7,26.59,16.02,11.37,7.94,5.59,0.8
Khagaria,37.89,25.24,14.05,10.87,7.13,4.18,0.65
Bhagalpur,31.1,26.53,15.22,12.5,7.82,6.01,0.82
Banka,33.61,31.84,16.16,9.93,5.2,2.94,0.32
Munger,26.68,18.68,17.23,17.32,11.99,7.59,0.52
Lakhisarai,28.78,24.97,18.68,,8.03,4.56,0.64
Sheikhpura,31.66,26.99,14.54,,8.27,4.8,0.83
Nalanda,29.32,24.49,16.16,13.83,8.93,,0.56
Patna,25.3,22.27,18.7,14.19,9.42,9.19,0.94
Bhojpur,26.77,27.86,16.9,14.43,7.52,6.04,0.49
Buxar,24.67,31.25,19.05,13.24,6.64,4.77,0.39
Kaimur (Bhabua),28.01,25.9,18.52,12.94,7.62,6.16,0.84
Rohtas,24.45,25.08,18.23,15.22,8.91,7.38,0.73
Aurangabad,51.32,63.71,39.57,43.13,24.4,18.79,1.5
Gaya,32.4,27.21,16.07,,6.89,4.71,0.43
Nawada,40.35,24.75,13.1,10.82,6.44,4.34,0.21
Jamui,38.74,29.26,14.18,9.6,5.17,2.73,0.32
Jehanabad,29.17,,16.19,15.56,9.47,6.27,0.49
Arwal,,24.52,16.73,16.99,10.12,5.79,0.3
North  District,22.02,30.22,22.57,11.77,7.28,5.13,1.0
West District,29.59,29.89,,9.7,6.24,4.68,0.51
South District,23.29,30.82,21.24,11.8,6.9,5.48,0.46
East District,16.38,26.23,22.24,,9.39,10.2,1.31
Tawang,24.72,23.84,20.31,10.79,10.03,6.95,3.36
West Kameng,21.98,25.67,20.97,14.01,9.92,6.7,0.74
East Kameng,26.47,23.7,20.01,14.04,10.19,5.27,
Papum Pare,13.87,,19.29,18.05,15.65,12.49,0.84
Upper Subansiri,15.77,,23.67,15.97,12.37,6.6,0.73
West Siang,19.17,23.81,21.43,15.41,11.34,8.12,0.7
East Siang,15.26,21.06,21.45,16.8,14.59,10.04,0.81
Upper Siang,,,,,,,
Changlang,25.39,28.01,21.57,12.47,7.01,4.52,1.04
Tirap,23.79,29.75,21.15,13.72,7.54,3.74,0.32
Lower Subansiri,15.72,20.03,21.58,18.25,14.2,9.68,0.55
Kurung Kumey,23.6,28.05,22.86,13.04,8.11,3.79,0.56
Dibang Valley,14.13,25.54,21.52,16.42,13.32,7.23,1.85
Lower Dibang Valley,17.73,24.01,22.18,16.62,10.77,8.43,0.26
Lohit,21.08,27.5,22.54,14.27,8.31,5.66,
Anjaw,27.28,27.91,20.56,11.06,7.51,4.76,0.93
Mon,29.46,36.25,24.0,6.0,2.81,1.39,0.08
Mokokchung,11.96,25.66,31.89,16.18,7.72,6.08,0.51
Zunheboto,14.33,,30.45,14.99,7.65,4.82,0.96
Wokha,12.03,28.07,,14.21,7.75,6.09,0.3
Dimapur,12.43,22.24,28.81,15.95,,9.91,
Phek,20.06,29.19,27.15,11.4,6.48,5.29,0.43
Tuensang,23.14,31.97,26.2,11.74,4.7,2.16,0.09
Longleng,23.28,34.64,25.28,10.08,4.94,1.73,0.04
Kiphire,22.89,32.18,27.9,10.64,4.2,,0.16
Kohima,,,,,,,
Peren,13.45,35.66,30.15,11.75,5.73,3.15,0.11
Senapati,,23.49,26.27,17.83,11.62,7.17,0.17
Tamenglong,10.8,,25.94,17.3,11.27,6.88,0.26
Churachandpur,13.52,27.93,26.93,15.86,9.58,5.97,0.21
Bishnupur,9.09,20.54,28.52,18.12,11.45,11.45,0.82
Thoubal,,,,,,,
Imphal West,7.58,15.26,24.08,17.9,14.05,18.92,2.21
Imphal East,10.41,18.72,26.86,16.36,12.83,,1.11
Ukhrul,13.01,18.49,24.13,19.97,14.3,9.84,0.25
Chandel,,,,,,,
Mamit,14.41,30.46,30.82,16.62,4.91,2.74,0.03
Kolasib,17.29,27.46,31.04,14.98,5.28,3.85,0.09
Aizawl,8.44,19.63,28.81,22.66,10.85,9.01,0.59
Champhai,,30.84,29.95,15.99,4.87,4.02,0.08
Serchhip,16.2,27.68,29.99,16.74,5.38,3.93,0.06
Lunglei,17.84,26.8,,16.02,6.84,4.43,0.09
Lawngtlai,26.67,28.31,22.3,,5.05,,0.17
Saiha,17.59,29.56,25.34,15.18,7.58,4.6,0.14
West Tripura,16.96,28.78,30.83,,6.02,5.83,0.92
South Tripura,18.79,32.29,29.55,10.15,4.59,3.89,0.75
Dhalai,24.72,,28.36,8.21,3.51,2.46,0.34
North Tripura,23.13,32.11,28.3,8.43,4.06,3.29,0.67
West Garo Hills,20.38,30.71,21.63,16.87,6.99,2.58,0.84
East Garo Hills,23.59,32.33,24.14,14.33,4.33,1.14,0.14
South Garo Hills,27.03,30.17,22.44,14.46,4.17,0.86,0.87
West Khasi Hills,31.96,31.12,17.93,11.31,,2.57,0.22
Ribhoi,,32.6,17.31,11.21,4.25,2.18,0.35
East Khasi Hills,18.63,25.82,20.14,14.92,9.28,9.72,1.48
Jaintia Hills,31.48,28.59,16.11,12.43,6.29,3.74,1.36
Kokrajhar,20.29,28.82,26.86,13.68,6.87,3.0,0.47
Dhubri,25.18,29.75,24.84,9.97,6.46,3.42,0.38
Goalpara,18.97,32.48,27.97,11.21,6.07,2.78,0.53
Barpeta,19.44,28.41,27.76,11.25,8.06,4.33,0.74
Morigaon,,30.78,28.29,10.69,6.42,2.9,0.44
Nagaon,19.63,31.91,28.81,9.99,5.79,3.35,0.52
Sonitpur,16.65,32.07,29.09,10.89,6.96,3.84,0.49
Lakhimpur,15.95,26.65,27.33,13.49,10.42,5.56,0.59
Dhemaji,,26.63,26.16,15.5,10.63,5.37,0.55
Tinsukia,16.58,29.3,30.35,12.06,6.71,4.19,0.81
Dibrugarh,14.56,24.76,30.63,14.21,9.1,6.04,0.71
Sivasagar,,,,,,,
Jorhat,11.14,22.59,33.1,14.34,10.87,7.01,0.94
Golaghat,14.3,27.28,31.82,13.54,8.06,4.49,0.5
Karbi Anglong,16.17,31.38,29.47,13.77,6.0,2.7,0.51
Dima Hasao,12.73,26.85,32.93,17.06,6.65,3.41,0.37
Cachar,18.63,32.5,27.53,11.33,5.79,3.29,0.94
Karimganj,21.17,35.69,27.57,8.2,4.24,2.29,0.84
Hailakandi,17.72,,27.8,10.01,5.7,2.32,0.85
Bongaigaon,19.52,,27.88,11.66,7.4,4.22,0.47
Chirang,21.27,30.41,27.71,12.37,5.79,2.16,0.3
Kamrup,14.34,25.38,30.96,13.55,10.4,4.81,0.56
Kamrup Metropolitan,8.03,16.28,25.92,15.06,14.55,17.04,3.12
Nalbari,12.51,23.36,31.78,13.44,,6.49,0.61
Baksa,13.95,28.59,32.98,14.15,7.81,2.25,0.27
Darrang,20.69,28.38,28.01,10.26,8.24,3.87,0.54
Udalguri,18.99,29.24,30.49,11.9,6.45,2.63,0.3
Darjiling,13.65,25.66,29.95,13.11,8.48,8.2,0.96
Jalpaiguri,17.36,29.15,31.01,11.12,5.72,4.93,0.72
Koch Bihar,19.96,30.2,29.95,10.61,4.72,4.11,0.44
Uttar Dinajpur,24.82,30.09,26.06,10.06,4.52,3.67,0.78
Dakshin Dinajpur,21.44,28.05,28.32,11.74,5.48,4.53,0.45
Maldah,22.15,29.1,27.55,11.01,5.08,4.27,0.85
Murshidabad,19.27,32.87,27.86,10.2,5.3,3.91,0.6
Birbhum,18.99,30.05,28.29,11.14,5.58,5.26,0.69
Barddhaman,14.69,26.37,29.46,12.81,7.45,8.07,1.15
Nadia,16.66,30.08,28.95,11.34,6.51,5.76,0.7
North Twenty Four Parganas,14.17,24.34,27.2,12.84,8.71,11.08,
Hugli,15.74,27.29,27.34,12.0,7.76,8.84,1.03
Bankura,20.08,24.32,,11.67,6.42,5.95,0.91
Puruliya,,,,,,,
Haora,13.83,28.39,29.04,11.97,7.62,8.16,0.99
Kolkata,7.43,17.4,23.89,16.17,12.38,20.13,2.61
South Twenty Four Parganas,19.29,30.61,28.57,9.73,5.46,5.55,
Paschim Medinipur,19.57,,30.37,11.25,6.17,4.98,0.83
Purba Medinipur,18.57,29.16,30.85,10.63,5.66,4.41,0.73
Garhwa,,27.3,20.58,12.26,6.54,3.93,0.4
Chatra,34.2,27.53,,10.84,6.02,3.69,0.35
Kodarma,29.28,29.43,,11.88,,4.72,0.54
Giridih,,29.68,17.47,9.79,5.18,3.68,0.56
Deoghar,24.84,30.42,21.73,11.0,6.22,5.02,0.77
Godda,31.23,27.38,18.19,11.4,6.8,4.43,0.57
Sahibganj,27.55,32.26,,9.83,5.29,3.73,0.49
Pakur,27.11,36.14,21.35,8.09,4.24,2.65,0.41
Dhanbad,16.89,26.64,23.88,16.2,9.92,5.7,0.78
Bokaro,16.74,23.4,23.66,16.05,10.64,8.04,1.46
Lohardaga,,27.69,20.72,12.56,7.17,4.52,0.32
Purbi Singhbhum,13.1,22.48,23.97,18.08,10.52,10.23,1.62
Palamu,,,,,,,
Latehar,,30.02,21.93,11.4,5.9,3.45,0.25
Hazaribagh,21.31,27.05,21.45,14.55,8.39,6.71,0.55
Ramgarh,18.81,22.65,21.93,16.55,,7.71,0.88
Dumka,30.82,30.83,20.04,9.35,5.16,3.44,0.36
Jamtara,30.58,,19.99,9.47,5.36,3.45,0.37
Ranchi,,24.38,22.06,16.51,11.01,8.69,1.27
Khunti,,,,,,,
Gumla,19.1,33.88,25.46,11.47,,3.32,0.41
Simdega,20.71,32.72,24.55,,6.25,3.44,0.3
Pashchimi Singhbhum,26.84,42.68,18.76,7.36,3.31,0.99,0.05
Saraikela-Kharsawan,17.7,,23.4,14.0,6.57,,0.19
Bargarh,20.0,30.28,24.06,14.34,5.73,4.8,0.79
Jharsuguda,16.94,24.88,25.39,17.38,8.06,,1.94
Sambalpur,18.78,26.16,24.27,15.31,7.16,6.47,1.85
Debagarh,22.51,27.53,25.57,12.96,6.34,4.27,0.82
Sundargarh,14.98,25.23,24.15,17.52,8.67,6.82,2.63
Kendujhar,19.66,26.34,26.52,14.48,6.42,5.29,1.28
Mayurbhanj,19.47,26.79,26.46,14.76,6.32,5.0,1.2
Baleshwar,,27.0,23.9,15.34,6.45,6.08,1.58
Bhadrak,17.09,31.72,24.11,14.36,5.82,5.48,1.42
Kendrapara,17.57,28.77,24.02,16.37,6.15,6.11,
Jagatsinghapur,15.21,25.23,,18.61,7.29,7.08,
Cuttack,14.03,26.45,24.87,15.92,7.73,8.8,2.2
Jajapur,17.98,29.86,22.72,15.4,6.68,6.03,1.33
Dhenkanal,21.96,27.74,22.49,15.35,6.18,5.01,1.27
Anugul,20.06,29.53,22.69,14.36,,5.07,1.84
Nayagarh,23.48,30.48,23.78,12.09,4.96,4.45,0.76
Khordha,14.2,22.91,22.43,15.17,9.15,12.72,3.42
Puri,18.03,29.64,26.1,12.84,6.05,6.24,1.11
Ganjam,22.13,32.77,21.72,12.71,5.18,4.15,1.34
Gajapati,25.51,28.5,20.43,13.79,6.37,4.68,0.7
Kandhamal,24.1,32.31,24.14,10.84,4.74,3.32,0.55
Baudh,25.31,33.53,23.04,10.51,4.26,2.77,0.57
Subarnapur,19.37,31.49,23.81,14.71,5.75,3.77,1.1
Balangir,24.37,30.27,,11.8,5.55,4.3,0.69
Nuapada,19.02,33.8,,15.33,5.78,2.99,1.28
Kalahandi,27.35,28.89,22.15,12.05,5.17,3.51,0.88
Rayagada,24.48,28.07,21.1,13.26,6.18,5.1,1.82
Nabarangapur,26.32,35.16,,10.06,3.72,2.53,0.52
Koraput,29.0,28.96,17.94,11.06,5.89,5.29,1.86
Malkangiri,29.73,31.57,21.95,9.29,4.14,2.73,0.59
Koriya,31.33,23.95,19.22,10.3,8.45,5.86,0.9
Surguja,28.04,26.04,21.64,10.42,8.15,4.97,0.73
Jashpur,22.79,25.99,24.03,12.11,9.54,4.94,0.6
Raigarh,16.59,23.21,18.99,19.86,10.93,9.41,1.0
Korba,22.84,24.13,21.58,,10.66,7.85,1.51
Janjgir - Champa,23.65,22.24,22.25,14.01,11.74,5.4,0.7
Kabeerdham,30.27,29.57,20.09,8.99,6.7,3.98,0.4
Rajnandgaon,24.79,27.04,,9.89,7.73,4.86,0.5
Durg,19.62,24.26,21.06,13.1,12.11,8.57,1.29
Raipur,23.12,24.84,20.65,,9.99,8.5,1.18
Mahasamund,25.59,27.72,21.66,11.19,8.25,4.75,0.85
