District_name,Total_House_with_Car,Total_House_with_Bicycle,Total_House_with_Motorcycle
Pashchim Champaran,10911.0,425249.0,48435.0
Purba Champaran,19282.0,,78531.0
Sheohar,1410.0,73447.0,7678.0
Sitamarhi,7292.0,317432.0,38576.0
Madhubani,11636.0,416574.0,59254.0
Supaul,4064.0,192734.0,21885.0
Araria,5041.0,279254.0,31983.0
Kishanganj,2436.0,177516.0,19539.0
Purnia,8390.0,291919.0,
Katihar,5118.0,285976.0,
Madhepura,4560.0,169936.0,21254.0
Saharsa,3824.0,129847.0,20489.0
Darbhanga,10325.0,320695.0,52586.0
Muzaffarpur,23333.0,548802.0,94249.0
Gopalganj,9508.0,312727.0,51902.0
Siwan,10891.0,382782.0,64065.0
Saran,10948.0,431759.0,68604.0
Vaishali,11316.0,,60246.0
Samastipur,10621.0,458268.0,56464.0
Begusarai,9821.0,295852.0,41377.0
Khagaria,3120.0,99898.0,14047.0
Bhagalpur,8644.0,220531.0,47618.0
Banka,3258.0,159201.0,24398.0
Munger,3755.0,112707.0,
Lakhisarai,2415.0,49052.0,
Sheikhpura,1728.0,33652.0,6933.0
Nalanda,7955.0,121583.0,29239.0
Patna,49821.0,430595.0,176114.0
Bhojpur,7391.0,206776.0,43689.0
Buxar,5341.0,137996.0,26325.0
Kaimur (Bhabua),6503.0,111045.0,22998.0
Rohtas,10819.0,224824.0,49892.0
Aurangabad,40467.0,387328.0,230188.0
Gaya,11827.0,294227.0,59202.0
Nawada,3991.0,75606.0,15948.0
Jamui,4842.0,113424.0,18411.0
Jehanabad,2522.0,69637.0,13682.0
Arwal,1386.0,55439.0,7667.0
North  District,638.0,62.0,239.0
West District,1379.0,131.0,641.0
South District,2026.0,208.0,759.0
East District,6556.0,734.0,1991.0
Tawang,895.0,105.0,205.0
West Kameng,1299.0,348.0,1045.0
East Kameng,577.0,755.0,1382.0
Papum Pare,6454.0,3898.0,8668.0
Upper Subansiri,569.0,782.0,1435.0
West Siang,1964.0,2129.0,4023.0
East Siang,2072.0,6380.0,4568.0
Upper Siang,430.0,136.0,1031.0
Changlang,1102.0,13306.0,2450.0
Tirap,,,1369.0
Lower Subansiri,2002.0,1063.0,2973.0
Kurung Kumey,605.0,,884.0
Dibang Valley,96.0,46.0,283.0
Lower Dibang Valley,703.0,4410.0,2128.0
Lohit,1203.0,16426.0,3884.0
Anjaw,79.0,51.0,363.0
Mon,1007.0,2148.0,1571.0
Mokokchung,3805.0,2132.0,5184.0
Zunheboto,2258.0,713.0,1033.0
Wokha,1592.0,2907.0,1713.0
Dimapur,,18820.0,10821.0
Phek,1780.0,,838.0
Tuensang,1063.0,355.0,738.0
Longleng,303.0,253.0,369.0
Kiphire,239.0,103.0,172.0
Kohima,8428.0,1472.0,2011.0
Peren,649.0,2001.0,824.0
Senapati,827.0,6761.0,1603.0
Tamenglong,495.0,826.0,
Churachandpur,1807.0,12613.0,
Bishnupur,2009.0,25026.0,5782.0
Thoubal,3141.0,57139.0,11574.0
Imphal West,12386.0,62287.0,41705.0
Imphal East,7743.0,52575.0,28471.0
Ukhrul,,1275.0,944.0
Chandel,908.0,7705.0,3263.0
Mamit,565.0,550.0,1619.0
Kolasib,867.0,1119.0,2488.0
Aizawl,9581.0,4713.0,16909.0
Champhai,1237.0,911.0,3135.0
Serchhip,702.0,482.0,1723.0
Lunglei,1982.0,1020.0,3706.0
Lawngtlai,631.0,487.0,658.0
Saiha,507.0,143.0,337.0
West Tripura,11356.0,182610.0,44499.0
South Tripura,,83598.0,12757.0
Dhalai,907.0,22716.0,3006.0
North Tripura,,42636.0,9201.0
West Garo Hills,3589.0,32839.0,10923.0
East Garo Hills,1167.0,22238.0,4732.0
South Garo Hills,695.0,,1700.0
West Khasi Hills,1683.0,,922.0
Ribhoi,1865.0,3769.0,1628.0
East Khasi Hills,15048.0,5188.0,7975.0
Jaintia Hills,4790.0,1826.0,978.0
Kokrajhar,2996.0,115712.0,12191.0
Dhubri,3672.0,139403.0,15757.0
Goalpara,4112.0,113964.0,15292.0
Barpeta,5560.0,181352.0,24913.0
Morigaon,3927.0,112160.0,13952.0
Nagaon,13979.0,333149.0,47693.0
Sonitpur,11760.0,275119.0,39796.0
Lakhimpur,6904.0,133214.0,25699.0
Dhemaji,3504.0,,12293.0
Tinsukia,13323.0,168890.0,31363.0
Dibrugarh,21112.0,172503.0,44664.0
Sivasagar,18234.0,161789.0,44887.0
Jorhat,16081.0,164118.0,44159.0
Golaghat,9295.0,157029.0,27300.0
Karbi Anglong,3934.0,97148.0,13699.0
Dima Hasao,1326.0,2636.0,2327.0
Cachar,8700.0,93297.0,22647.0
Karimganj,3757.0,38218.0,7289.0
Hailakandi,2583.0,27808.0,5589.0
Bongaigaon,5837.0,97820.0,16579.0
Chirang,1814.0,65675.0,6568.0
Kamrup,10052.0,199425.0,34461.0
Kamrup Metropolitan,53778.0,90467.0,
Nalbari,4785.0,107774.0,18810.0
Baksa,2479.0,137745.0,
Darrang,3533.0,109858.0,13662.0
Udalguri,2867.0,124472.0,11591.0
Darjiling,15192.0,125953.0,39828.0
Jalpaiguri,16431.0,502539.0,67075.0
Koch Bihar,8121.0,368564.0,32771.0
Uttar Dinajpur,,362567.0,31859.0
Dakshin Dinajpur,6211.0,225689.0,20163.0
Maldah,9639.0,401774.0,41600.0
Murshidabad,14050.0,840951.0,74313.0
Birbhum,7305.0,451618.0,54557.0
Barddhaman,46714.0,1104486.0,263368.0
Nadia,,796698.0,76698.0
North Twenty Four Parganas,83803.0,1279632.0,
Hugli,24013.0,903374.0,167753.0
Bankura,7898.0,546543.0,72350.0
Puruliya,6602.0,393127.0,49630.0
Haora,22295.0,576054.0,122818.0
Kolkata,85605.0,252887.0,117173.0
South Twenty Four Parganas,38610.0,749020.0,86416.0
Paschim Medinipur,14598.0,926551.0,136067.0
Purba Medinipur,14605.0,667366.0,61199.0
Garhwa,2671.0,108161.0,16578.0
Chatra,2110.0,90400.0,15107.0
Kodarma,2538.0,57819.0,17265.0
Giridih,6290.0,226550.0,57582.0
Deoghar,3714.0,174959.0,32553.0
Godda,1754.0,133332.0,19859.0
Sahibganj,1285.0,95511.0,10359.0
Pakur,923.0,102037.0,9725.0
Dhanbad,18631.0,283681.0,131398.0
Bokaro,21098.0,247231.0,108998.0
Lohardaga,1102.0,66235.0,10065.0
Purbi Singhbhum,32092.0,302921.0,147472.0
Palamu,8015.0,159105.0,29434.0
Latehar,1268.0,,8012.0
Hazaribagh,9803.0,168989.0,51617.0
Ramgarh,7418.0,95218.0,43672.0
Dumka,2912.0,175375.0,23058.0
Jamtara,1632.0,116861.0,16906.0
Ranchi,34053.0,344888.0,141089.0
Khunti,1016.0,70981.0,7844.0
Gumla,2181.0,130700.0,16146.0
Simdega,1158.0,86022.0,9742.0
Pashchimi Singhbhum,3704.0,180400.0,31568.0
Saraikela-Kharsawan,4584.0,156146.0,36326.0
Bargarh,4546.0,273955.0,48055.0
Jharsuguda,3966.0,102328.0,32916.0
Sambalpur,5946.0,176565.0,47662.0
Debagarh,1033.0,40025.0,7347.0
Sundargarh,14641.0,341323.0,102703.0
Kendujhar,7608.0,232920.0,57029.0
Mayurbhanj,6279.0,418435.0,62502.0
Baleshwar,8591.0,365510.0,
Bhadrak,3670.0,184434.0,34791.0
Kendrapara,2686.0,189402.0,37980.0
Jagatsinghapur,4349.0,170536.0,44412.0
Cuttack,15494.0,391982.0,132934.0
Jajapur,5921.0,246283.0,54436.0
Dhenkanal,3533.0,159449.0,36224.0
Anugul,9449.0,185886.0,58323.0
Nayagarh,2270.0,141578.0,24290.0
Khordha,33514.0,325139.0,165342.0
Puri,4693.0,244309.0,57033.0
Ganjam,9066.0,369914.0,100866.0
Gajapati,656.0,28704.0,8521.0
Kandhamal,1278.0,66979.0,11947.0
Baudh,755.0,76760.0,7778.0
Subarnapur,1332.0,110604.0,14201.0
Balangir,4629.0,296141.0,43512.0
Nuapada,1346.0,107595.0,12482.0
Kalahandi,3547.0,226852.0,34156.0
Rayagada,2090.0,,19440.0
Nabarangapur,2030.0,166031.0,21081.0
Koraput,6922.0,112569.0,37192.0
Malkangiri,820.0,62048.0,10535.0
Koriya,3402.0,67318.0,26365.0
Surguja,8096.0,277773.0,56480.0
Jashpur,2442.0,100725.0,15547.0
Raigarh,49515.0,361496.0,208421.0
