District_Name,Percentage_Size_1_HH,Percentage_Size_2_HH,Percentage_Size_3_HH,Percentage_Size_4_HH,Percentage_Size_5_HH,Percentage_Size_6_8_HH,Percentage_9_Above_HH
Lower Dibang Valley,8.51,9.54,12.85,18.15,16.98,28.01,5.96
Lohit,5.67,7.87,13.02,19.0,19.27,29.97,5.21
Anjaw,9.31,10.93,13.21,15.81,16.1,30.5,4.14
Mon,2.6,4.69,7.54,11.62,14.11,49.36,10.08
Mokokchung,5.93,9.79,12.7,18.31,19.38,32.16,1.73
Zunheboto,4.92,8.91,11.02,13.8,15.03,40.58,5.76
Wokha,4.07,7.06,9.82,13.67,15.83,45.17,4.39
Dimapur,5.01,10.14,14.73,19.64,17.77,28.31,4.39
Phek,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tuensang,3.25,6.99,10.32,13.46,15.06,44.32,6.62
Longleng,10.69,15.02,17.42,16.38,14.99,23.09,2.41
Kiphire,4.76,13.56,13.14,14.54,14.54,34.78,4.7
Kohima,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peren,4.64,7.99,11.42,14.23,15.55,40.75,5.41
Senapati,0.84,7.38,13.43,17.36,17.92,38.3,4.78
Tamenglong,1.08,6.06,12.48,16.22,17.13,38.49,8.53
Churachandpur,1.52,8.94,12.56,16.15,16.84,34.59,9.4
Bishnupur,1.13,5.98,12.78,20.79,21.98,32.99,4.35
Thoubal,1.38,6.21,13.83,22.29,22.34,30.32,3.61
Imphal West,1.8,8.08,17.16,24.41,21.28,24.47,2.81
Imphal East,1.47,6.72,14.3,22.1,21.29,30.0,4.12
Ukhrul,3.55,10.46,13.45,15.47,15.25,34.64,7.18
Chandel,2.01,11.55,17.1,18.59,17.19,29.33,4.23
Mamit,6.03,8.41,13.67,17.72,19.01,30.03,5.14
Kolasib,5.51,8.79,13.86,18.25,19.51,28.52,5.57
Aizawl,4.91,8.78,13.03,18.99,20.52,27.84,5.92
